alpha3code,image_timestamp,avg_ssm_mm,avg_susm_mm,month,year,platform,country,country_clean,alpha2code,numeric,continet_code,area_km2
BLZ,2017-04-24 12:00:00+00:00,5.470523834228516,39.45743179321289,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-04-27 12:00:00+00:00,4.7565460205078125,34.244483947753906,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-04-30 12:00:00+00:00,5.016661167144775,30.145015716552734,4,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-03 12:00:00+00:00,4.5992112159729,28.304208755493164,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-06 12:00:00+00:00,8.691401481628418,31.909454345703125,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-09 12:00:00+00:00,4.422579765319824,31.13848304748535,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-12 12:00:00+00:00,5.389241695404053,27.757465362548828,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-15 12:00:00+00:00,10.125571250915527,34.590919494628906,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-18 12:00:00+00:00,4.709558963775635,33.99121856689453,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-21 12:00:00+00:00,4.516127109527588,29.833175659179688,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-24 12:00:00+00:00,5.922021865844727,27.7493896484375,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-27 12:00:00+00:00,5.486764907836914,30.11344337463379,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-05-30 12:00:00+00:00,4.067213535308838,27.644289016723633,5,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-02 12:00:00+00:00,4.161861419677734,25.357797622680664,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-05 12:00:00+00:00,3.890481948852539,23.686725616455078,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-08 12:00:00+00:00,17.611225128173828,40.40958786010742,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-11 12:00:00+00:00,15.378196716308594,64.52574920654297,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-14 12:00:00+00:00,14.506795883178711,73.45570373535156,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-17 12:00:00+00:00,22.4138240814209,94.28797912597656,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-20 12:00:00+00:00,24.487390518188477,134.6529998779297,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-23 12:00:00+00:00,21.162109375,133.84075927734375,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-26 12:00:00+00:00,19.74616050720215,126.1379623413086,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-06-29 12:00:00+00:00,18.322128295898438,120.7112808227539,6,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-07-02 12:00:00+00:00,22.334287643432617,126.86724090576172,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-07-05 12:00:00+00:00,24.369014739990234,134.5529022216797,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
